holiday_title,holiday_desc,main_meal,date_MM_dd
National Spaghetti Day,"A day to celebrate the long, versatile pasta and accompanying sauces.",Spaghetti,01-04
National Bagel Day,"Celebrates the classic boiled and baked bread product, often enjoyed with cream cheese.",Bagel,01-15
National Popcorn Day,"Honors the popular snack, whether buttered, salted, or flavored.",Popcorn,01-19
National Pizza Day,"Celebrates the beloved Italian-American dish with bread, sauce, and cheese.",Pizza,02-09
National Pound Cake Day,"A day for the simple, dense cake traditionally made with a pound of each ingredient.",Pound Cake,03-04
National Meatball Day,"Honors the ground meat rolled into a small ball, often served with pasta or in a sandwich.",Meatball,03-09
National Potato Chip Day,Celebrates the thin slice of potato that has been deep-fried or baked until crunchy.,Potato Chip,03-14
National Waffle Day,"A day to enjoy the leavened batter cooked between two hot, patterned plates.",Waffle,03-25
National Beer Day,"Commemorates the day the Cullenâ€“Harrison Act was enacted, allowing the sale of beer.",Beer,04-07
National Grilled Cheese Day,"Honors the simple, satisfying sandwich of bread and melted cheese.",Grilled Cheese Sandwich,04-12
National Pretzel Day,Celebrates the baked pastry product shaped into a twisted knot.,Pretzel,04-26
National Hamburger Day,"A day to enjoy the iconic cooked ground meat patty, often served on a bun.",Hamburger,05-28
National Rotisserie Chicken Day,Honors the chicken prepared on a spit or skewer over heat.,Rotisserie Chicken,06-02
National Fudge Day,"Celebrates the soft, sweet candy made from sugar, butter, and milk.",Fudge,06-16
National Fried Chicken Day,"A day dedicated to chicken pieces seasoned and pan-fried, deep-fried, or pressure-fried.",Fried Chicken,07-06
National French Fry Day,"Honors the popular side dish of deep-fried, thin-cut potatoes.",French Fries,07-13
National Watermelon Day,"Celebrates the sweet, juicy fruit, a staple of summer.",Watermelon,08-03
National S'mores Day,A day for the campfire treat consisting of a roasted marshmallow and chocolate between graham crackers.,S'more,08-10
National Hot Dog Day,Honors the grilled or steamed sausage served in the slit of a partially sliced bun.,Hot Dog,09-10
National Cheeseburger Day,Celebrates the hamburger topped with cheese.,Cheeseburger,09-18
National Coffee Day,A day to celebrate the brewed drink prepared from roasted coffee beans.,Coffee,09-29
National Taco Day,Honors the traditional Mexican dish of a corn or wheat tortilla folded around a filling.,Taco,10-04
National Dessert Day,A general celebration of sweet courses consumed after a meal.,Dessert,10-14
National Pasta Day,"Celebrates the staple food of Italian cuisine, typically made from an unleavened dough of durum wheat flour.",Pasta,10-17
National Doughnut Day,"Celebrates the fried dough confection, often ring-shaped or filled.",Doughnut,11-05
National Sandwich Day,Honors the food item consisting of two or more slices of bread with one or more fillings.,Sandwich,11-03
National Pickle Day,A day dedicated to cucumbers or other vegetables pickled in brine or vinegar.,Pickle,11-14
National Cookie Day,"Celebrates the small, flat, sweet baked treat.",Cookie,12-04